窗口,配置,累计,年化,波动,最大回撤,Calmar,夏普,索提诺,平均仓位,换手
2025+,S5 平滑后×1.30 上限100%,1.0562260543258666,0.5341294880775358,0.31584883955772197,-0.17506927657677585,3.0509607312125655,1.5135786677965357,2.3469885494952347,0.874629585176818,23.794553873138156
2025+,A6 暴露×1.20 上限100%,1.055444214300262,0.5337831576748597,0.28394183262239264,-0.161784769206875,3.2993412191496843,1.6492719602514263,2.5503526064956703,0.7748670201146717,35.269296088523106
2025+,S3 平滑后×1.20,1.0544286423596954,0.5333332114934062,0.2772109092052904,-0.15234063945251086,3.5009253828139792,1.6814906493348698,2.615844562377185,0.767847448570554,28.799824299352522
2025+,A7 暴露×1.30 上限100%,1.045542100509841,0.5293921924037637,0.2868528253852665,-0.16200437480570673,3.267764793627741,1.6254598722037645,2.5050497450848317,0.7849116215131043,34.33255742376471
2025+,S2 平滑后×1.10,1.041318275957456,0.5275165646505671,0.2688152626704398,-0.15021278411929118,3.511795402391579,1.7113197643711788,2.6617724210175373,0.7406928950913323,32.968175737739
2025+,S1 平滑后×1.05,1.0200941750328294,0.5180678352831294,0.2641297219027126,-0.1491440405546618,3.473607348684224,1.7134291921175908,2.6599519217945025,0.7176540207932767,34.614195410670476
2025+,A4 暴露×1.20,0.9994653190162284,0.5088453679666181,0.26647199819123546,-0.15547091307198735,3.2729296941287407,1.6777580907176617,2.606026586693392,0.7250604304925683,34.22917110648258
2025+,A5 暴露×1.30,0.9932611008761556,0.5060641180538328,0.26953302232719606,-0.15472806037195264,3.2706680148209535,1.6549302107142607,2.561305934465095,0.7366962026864485,33.74455390388514
2025+,A1 暴露×1.05,0.9901451821942562,0.5046659756855842,0.26139787217205823,-0.15373896473991677,3.282615936300459,1.6945737288472387,2.6326938264885142,0.7052713897074928,36.19659647044371
2025+,A3 暴露×1.15,0.9868441740638447,0.5031838112847056,0.2641023985763521,-0.15538958447403894,3.238208101192086,1.6761838332677907,2.6008173333630973,0.7175615063317313,35.146500433464126
2025+,S4 平滑后×1.30,0.985635413673468,0.5026408233263024,0.287045027463623,-0.15929650530902673,3.1553788474593705,1.562904500607021,2.4325719038366564,0.8012906146862611,26.292791562713383
2025+,A2 暴露×1.10,0.9852952251057379,0.5024879828050266,0.2625855910441017,-0.15465378455631096,3.2491153336248657,1.6825865476591428,2.6093520446566596,0.711702706780124,35.905566637833175
2025+,基准（现状）,0.9776333264508719,0.4990428075561528,0.257385995720651,-0.14923244699296545,3.3440636913209447,1.7024088251262517,2.6390241060434567,0.6944354499479203,36.41675848544219
2025+,AB4 ×1.30 上限100% + 波动25%,0.970591306731484,0.4958715749569391,0.23670495787353105,-0.1596292398054856,3.106395642560074,1.8206531062376705,2.8650624511109903,0.687394075491592,35.86636999198127
2025+,AB2 ×1.20 + 波动25%双向,0.8699104510682756,0.450016478226521,0.2193908101055051,-0.15200416850817866,2.960553533782255,1.8043178312211774,2.8222677744185067,0.6331494894710086,34.60645144144391
2025+,B1 波动目标30% 只降,0.8405837969678789,0.43647224325204914,0.21205146261982638,-0.14886431447035364,2.9320139269440038,1.8149265566409893,2.852077854423855,0.6103966592456147,34.99867548129299
2025+,B4 波动目标30% 双向,0.8314326381913559,0.4322279515562135,0.21613984091088825,-0.15200416850817877,2.8435269624395705,1.7710069843812073,2.760937022813044,0.623045710636508,34.238253819891355
2025+,AB1 ×1.10 + 波动25%双向,0.8288433116563092,0.4310254633311692,0.2089729441446541,-0.14798114320656608,2.912705321714554,1.8204833501228808,2.8396481364461956,0.6080791650259132,34.145098822211295
2025+,S6 平滑后×1.50 上限100%,0.8242886688195619,0.42890859846912477,0.3436654212092187,-0.2628253493642966,1.631914880001258,1.2104838957717672,1.8379462865542415,0.9152261722259516,18.625740782034768
