code,name,kind,corr_all,corr_2026m,corr_2025,cum_ret,ann_vol
512800,银行ETF,行业,-0.298320292469624,-0.4539919290668509,-0.12182792857938997,0.15013774104683186,0.15071730235832836
511010,国债ETF,参考,-0.1283544787952746,-0.01549998904147461,-0.20345268076574013,0.023933991197859772,0.012302529320368804
510880,红利ETF,行业,-0.10031915393459952,-0.2495118461284188,0.07327812609733482,0.13226452905811614,0.1437175011075267
159930,能源ETF,行业,-0.04551063975386234,-0.1994108384000878,0.15767858433680162,0.22982708933717588,0.24407439876294118
515220,煤炭ETF,行业,-0.028175168036008696,-0.16600812660050507,0.13979234782077998,0.19811320754716988,0.29601437189013
512690,酒ETF,行业,-0.023338084629267904,-0.17031431452922205,0.21351810572476554,-0.2783333333333333,0.22196621737636324
561580,央企红利ETF,行业,-0.0002893487556364758,-0.26306483688235965,0.27674486594657116,0.21290944123314048,0.1450183420864807
159928,消费ETF,行业,0.02686875219841363,-0.10059864282276308,0.2484728548737069,-0.14518147684605753,0.17349408870574018
159865,养殖ETF,行业,0.08008345196549783,0.008716971606161845,0.1840839074276533,0.03063063063063054,0.20809019499841214
159825,农业ETF,行业,0.12093938022788721,0.010099491329278853,0.25903995440803773,0.19047619047619047,0.20508900202604224
159611,电力ETF,行业,0.13734959469172048,0.06311172344238113,0.2634593560026008,0.07476635514018692,0.18425077269304
518880,黄金ETF,参考,0.19448667403133776,0.23584555085887876,0.1353393667303951,0.5097875188221515,0.2591095982363352
516950,基建ETF,行业,0.31488177683936375,0.2992677599891612,0.3591472922783325,-0.0019342359767892114,0.2000091735436985
512010,医药ETF,行业,0.3594844820002952,0.22838552146717098,0.5462427953975031,0.0769230769230771,0.2218227515502696
512070,证券保险ETF,行业,0.3620817385681012,0.2233969936191974,0.5626798706700775,0.04669260700389111,0.23326576646489053
516020,化工ETF,行业,0.40084731359322656,0.35516656141309166,0.4857571202263798,0.4341216216216217,0.2601870046754322
159992,创新药ETF,行业,0.4125461222917926,0.3377628638263714,0.5212596980037086,0.23858615611192913,0.28804512193732285
512170,医疗ETF,行业,0.4305319021924919,0.30806039641537186,0.5893824762099524,0.056426332288401326,0.23776200062490602
512980,传媒ETF,行业,0.45134533141105704,0.3576309451440254,0.6106343266480504,0.14814814814814814,0.32882742196787473
512880,证券ETF,行业,0.4678351891326307,0.34693773410295764,0.6445147556503161,-0.013562386980108587,0.2431992943222431
512400,有色金属ETF,行业,0.46982111770355767,0.47409471722921864,0.5439177264656372,0.9746835443037978,0.3788423800168984
512000,券商ETF,行业,0.47394604177893984,0.3640609160180602,0.6403662298446847,-0.011342155009451793,0.24120289602020445
159755,电池ETF,行业,0.5156414389846229,0.48993848038435184,0.5838283716058571,0.42539682539682544,0.31416124616372276
512580,环保ETF,行业,0.5177453274263293,0.5063905667277461,0.5778713517181462,0.1864583333333334,0.2386243025825202
515030,新能源车ETF,行业,0.5313892225820522,0.48299570322106505,0.6156689021664112,0.3500866551126518,0.2981247568577164
512670,国防ETF,行业,0.5951211517493026,0.6494955323405641,0.5738619471510938,0.1711711711711712,0.30846409121015345
512660,军工ETF,行业,0.6040095614428218,0.6264011872915348,0.6247374127669633,0.1556224899598393,0.30476036285488356
588000,科创50ETF,参考,0.9971621873687665,0.997397313134305,0.9966869015801657,0.6897918731417247,0.37876079841516147
