date,target,name_cn,layer,total,state,regime,regime_cn,score_global_fund,score_china_liquidity,score_china_macro,score_ashare_fund,score_risk_appetite,score_tech_cycle,score_tech_valuation,fwd_5,rel_5,dd_5,fwd_10,rel_10,dd_10,fwd_20,rel_20,dd_20,fwd_60,rel_60,dd_60
2020-01-16,idx_hs300,沪深300,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.034982042846989025,0.0,-0.04346306467295613,-0.06005577671766704,0.0,-0.1188466803477446,0.00010773568748256857,0.0,-0.1188466803477446,-0.07124245277766461,0.0,-0.1607946799469897
2020-01-16,idx_zz1000,中证1000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0344153604155244,0.0005666824314646268,-0.0429663668390915,-0.05396965028908196,0.006086126428585081,-0.12673750731964284,0.05783435544986126,0.057726619762378695,-0.12673750731964284,-0.016727853595954745,0.054514599181709866,-0.1566751358600862
2020-01-16,idx_zz2000,中证2000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.03596868411866938,-0.0009866412716803552,-0.04372081097583713,-0.059375185811731956,0.0006805909059350856,-0.13090541976880432,0.040010561038210435,0.039902825350727866,-0.13090541976880432,-0.01387245358981326,0.05736999918785135,-0.13120761637049816
2020-01-16,idx_kc50,科创50,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.04140940463639087,0.07639144748337989,-0.036674461853964835,0.13294083096032838,0.19299660767799542,-0.17193306683272747,0.16681928401814772,0.16671154833066515,-0.17193306683272747,-0.01814255009299981,0.0530999026846648,-0.2641412221377406
2020-01-16,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.001149764166218925,0.0338322786807701,-0.03317971471975256,0.04447654641725918,0.10453232313492622,-0.09936561480797168,0.15372227728954124,0.15361454160205867,-0.09936561480797168,0.05879704304905631,0.13003949582672092,-0.20122309505655545
2020-01-16,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0061587600348794735,0.028823282812109552,-0.03840304504550818,0.0019470054540111636,0.062002782171678206,-0.12918263214977144,0.15411766006740657,0.154009924379924,-0.12918263214977144,-0.034807905597725064,0.03643454717993955,-0.2659919659497786
2020-01-16,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.10030030030030024,0.13528234314728926,-0.013993541442411161,0.1075075075075076,0.16756328422517464,-0.11248654467169006,0.3723723723723724,0.37226463668488985,-0.11248654467169006,0.07027027027027022,0.14151272304793483,-0.35130718954248363
2020-01-16,idx_ai,人工智能(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.0027198549410698547,0.03770189778805888,-0.03321678321678301,0.04170444242973703,0.10176021914740407,-0.1302447552447552,0.19764279238440619,0.19753505669692362,-0.1302447552447552,0.012692656391659174,0.08393510916932378,-0.2570601013758146
2020-01-16,idx_comm,通信设备(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,0.02757352941176472,0.06255557225875374,-0.038693035253654307,-0.007352941176470562,0.05270283554119648,-0.1349957007738607,0.18382352941176472,0.18371579372428215,-0.1349957007738607,-0.006433823529411908,0.0648086292482527,-0.2945736434108528
2020-01-16,idx_software,计算机(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.022691705790297223,0.012290337056691802,-0.03552123552123543,0.01017214397496069,0.07022792069262773,-0.13204633204633187,0.15336463223787167,0.1532568965503891,-0.13204633204633187,0.014866979655711932,0.08610943243337654,-0.2137203166226913
2020-01-17,idx_hs300,沪深300,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.11227713712133736,0.0,-0.1188466803477446,-0.05748651035307384,0.0,-0.1188466803477446,-0.005298382397644463,0.0,-0.1188466803477446,-0.08347010110827024,0.0,-0.1607946799469897
2020-01-17,idx_zz1000,中证1000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.11553026050904414,-0.00325312338770678,-0.12673750731964284,-0.037053025030394204,0.020433485322679634,-0.12673750731964284,0.08521311314804936,0.09051149554569382,-0.12673750731964284,-0.018097728140161085,0.06537237296810916,-0.1566751358600862
2020-01-17,idx_zz2000,中证2000,benchmark_market,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.11707047279435745,-0.004793335673020094,-0.12769733934843963,-0.04168726270731882,0.01579924764575502,-0.13090541976880432,0.0652532060224782,0.07055158842012266,-0.13090541976880432,-0.013256065443751575,0.07021403566451867,-0.13120761637049816
2020-01-17,idx_kc50,科创50,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.1680148934658633,-0.055737756344525935,-0.17193306683272747,0.06748076960337923,0.12496727995645307,-0.17193306683272747,0.09126445912693026,0.09656284152457473,-0.17193306683272747,-0.0964224357856529,-0.01295233467738266,-0.2641412221377406
2020-01-17,idx_cyb,创业板指,tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.07075613023677485,0.041521006884562506,-0.09936561480797168,0.056747930542180525,0.11423444089525436,-0.09936561480797168,0.1715182992490083,0.17681668164665276,-0.09936561480797168,0.047312020474915784,0.13078212158318603,-0.20122309505655545
2020-01-17,idx_csi_tech,中证科技(代理),tech_benchmark,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0951621544423602,0.017114982678977153,-0.12918263214977144,0.006519836031404269,0.06400634638447811,-0.12918263214977144,0.20625967870183803,0.2115580610994825,-0.12918263214977144,-0.03645367732771343,0.047016423780556815,-0.2659919659497786
2020-01-17,idx_semi,半导体(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.0030229746070132846,0.10925416251432407,-0.11248654467169006,0.0858524788391779,0.14333898919225174,-0.11248654467169006,0.46009673518742455,0.465395117585069,-0.11248654467169006,0.04897218863361563,0.13244228974188588,-0.35130718954248363
2020-01-17,idx_ai,人工智能(代理),tech_industry,4,偏强,broad_risk_on,全面风险偏好,1,1,1,1,1,0,-1,-0.09298085688240654,0.01929628023893082,-0.1302447552447552,0.04375569735642659,0.10124220770950043,-0.1302447552447552,0.2497721057429354,0.25507048814057987,-0.1302447552447552,0.010938924339106704,0.09440902544737695,-0.2570601013758146
