date,open,high,low,close
2019-12-13,1738.558,1757.748,1733.123,1755.413
2019-12-16,1760.795,1780.333,1752.006,1780.333
2019-12-17,1782.985,1807.949,1780.52,1801.616
2019-12-18,1798.4,1804.378,1787.233,1792.418
2019-12-19,1792.709,1797.024,1781.029,1790.438
2019-12-20,1792.045,1798.382,1771.707,1771.707
2019-12-23,1763.727,1775.015,1735.724,1736.624
2019-12-24,1742.895,1769.885,1742.864,1769.869
2019-12-25,1766.223,1787.504,1764.809,1784.395
2019-12-26,1784.427,1793.635,1777.695,1793.635
2019-12-27,1795.41,1805.191,1767.173,1767.582
2019-12-30,1763.58,1790.912,1749.165,1790.239
2019-12-31,1790.796,1804.82,1787.451,1798.118
2020-01-02,1811.22,1839.41,1797.542,1832.742
2020-01-03,1836.864,1842.558,1821.667,1836.012
2020-01-06,1825.552,1876.464,1824.346,1859.921
2020-01-07,1866.261,1893.214,1866.261,1893.214
2020-01-08,1881.009,1892.577,1858.284,1862.699
2020-01-09,1884.422,1913.783,1884.422,1913.142
2020-01-10,1917.612,1917.828,1894.67,1904.194
2020-01-13,1905.399,1935.072,1893.566,1935.072
2020-01-14,1941.124,1945.767,1922.131,1922.557
2020-01-15,1920.661,1928.69,1902.608,1924.238
2020-01-16,1924.519,1936.035,1917.564,1929.961
2020-01-17,1935.296,1949.044,1928.351,1932.511
2020-01-20,1940.122,1982.176,1935.83,1982.176
2020-01-21,1979.373,1987.662,1959.442,1967.027
2020-01-22,1958.08,2004.393,1928.028,1993.899
2020-01-23,1973.331,1996.552,1904.275,1927.742
2020-02-03,1769.164,1830.808,1769.164,1795.774
2020-02-04,1786.16,1886.804,1786.16,1882.691
2020-02-05,1908.974,1966.26,1901.796,1939.62
2020-02-06,1934.98,2014.885,1918.661,2012.249
2020-02-07,2014.157,2025.319,1976.787,2015.799
2020-02-10,2019.314,2043.679,2007.225,2042.177
2020-02-11,2044.218,2046.812,2015.761,2028.444
2020-02-12,2024.379,2086.943,2022.676,2085.278
2020-02-13,2080.819,2093.368,2052.569,2064.596
2020-02-14,2063.306,2104.007,2049.257,2069.219
2020-02-17,2089.214,2146.177,2089.214,2146.177
2020-02-18,2149.298,2170.949,2134.342,2170.949
2020-02-19,2168.846,2171.955,2137.413,2139.437
2020-02-20,2151.42,2190.499,2140.055,2186.737
2020-02-21,2191.984,2247.417,2189.25,2226.639
2020-02-24,2223.19,2271.704,2213.822,2263.972
2020-02-25,2218.326,2293.463,2171.679,2287.312
2020-02-26,2248.653,2263.074,2173.204,2180.701
2020-02-27,2200.381,2233.763,2163.884,2196.714
2020-02-28,2114.319,2155.968,2068.93,2071.566
2020-03-02,2110.448,2153.217,2082.969,2135.415
2020-03-03,2190.498,2238.735,2151.523,2173.346
2020-03-04,2159.858,2180.425,2122.454,2169.443
2020-03-05,2206.082,2216.825,2176.49,2209.588
2020-03-06,2178.5,2220.364,2175.014,2192.936
2020-03-09,2151.27,2163.728,2091.855,2093.063
2020-03-10,2083.197,2151.45,2052.055,2148.81
2020-03-11,2157.931,2162.604,2100.507,2101.463
2020-03-12,2070.222,2076.009,2025.906,2045.926
2020-03-13,1937.946,2055.331,1937.946,2030.58
2020-03-16,2034.754,2036.734,1902.398,1910.767
2020-03-17,1941.202,1955.624,1847.51,1917.702
2020-03-18,1941.301,1980.789,1887.042,1887.042
2020-03-19,1898.763,1908.685,1838.313,1894.943
2020-03-20,1923.96,1928.879,1878.849,1915.046
2020-03-23,1856.303,1884.449,1819.77,1827.052
2020-03-24,1869.044,1880.865,1817.554,1876.91
2020-03-25,1924.991,1940.075,1915.528,1937.855
2020-03-26,1922.792,1948.631,1914.346,1927.275
2020-03-27,1955.871,1957.699,1902.788,1903.881
2020-03-30,1875.306,1877.501,1833.009,1860.484
2020-03-31,1876.688,1886.266,1862.856,1871.917
2020-04-01,1875.364,1900.183,1862.272,1864.8
2020-04-02,1860.075,1916.951,1857.323,1916.951
2020-04-03,1912.742,1928.339,1898.794,1906.675
2020-04-07,1944.964,1972.868,1942.798,1969.782
2020-04-08,1960.356,1974.723,1956.902,1964.757
2020-04-09,1981.239,2001.36,1975.038,1997.136
2020-04-10,1990.263,1994.354,1943.694,1949.885
2020-04-13,1929.797,1937.327,1913.955,1923.081
2020-04-14,1937.292,1985.426,1934.482,1985.426
2020-04-15,1991.598,2002.76,1975.796,1977.515
2020-04-16,1970.732,2012.463,1968.253,2008.388
2020-04-17,2025.652,2048.278,2015.835,2020.77
2020-04-20,2027.841,2043.556,2022.587,2043.437
2020-04-21,2035.77,2035.77,1996.962,2023.942
2020-04-22,2005.646,2043.558,2002.962,2043.171
2020-04-23,2053.124,2057.851,2027.334,2029.524
2020-04-24,2032.554,2038.236,1997.121,2003.748
2020-04-27,2011.158,2035.889,1995.505,2018.666
2020-04-28,2023.962,2046.932,1967.399,2030.724
2020-04-29,2022.506,2053.378,2020.983,2030.477
2020-04-30,2044.676,2077.807,2043.816,2069.432
2020-05-06,2052.389,2111.656,2051.292,2110.267
2020-05-07,2113.752,2116.227,2095.742,2106.842
2020-05-08,2117.866,2137.786,2112.887,2125.243
2020-05-11,2137.98,2139.665,2088.658,2102.825
2020-05-12,2106.223,2125.323,2092.578,2124.15
2020-05-13,2120.011,2145.024,2116.551,2140.681
2020-05-14,2131.46,2137.14,2116.352,2117.647
2020-05-15,2128.876,2138.968,2109.546,2124.311
2020-05-18,2122.307,2137.149,2096.254,2114.858
2020-05-19,2137.417,2144.983,2128.892,2144.121
2020-05-20,2149.292,2153.244,2112.086,2118.119
2020-05-21,2130.96,2138.72,2092.544,2099.432
2020-05-22,2099.416,2099.416,2036.678,2046.596
2020-05-25,2049.712,2055.186,2036.004,2052.302
2020-05-26,2070.139,2113.288,2067.144,2112.973
2020-05-27,2114.071,2114.859,2064.409,2071.473
2020-05-28,2071.168,2075.868,2021.98,2054.964
2020-05-29,2049.754,2090.296,2043.953,2086.666
2020-06-01,2105.242,2163.35,2105.242,2158.223
2020-06-02,2164.989,2164.989,2132.399,2145.286
2020-06-03,2151.498,2165.454,2139.993,2143.117
2020-06-04,2150.503,2157.278,2137.35,2151.385
2020-06-05,2152.418,2166.375,2143.28,2166.375
2020-06-08,2184.582,2186.974,2147.865,2153.564
2020-06-09,2160.343,2186.47,2147.173,2181.589
2020-06-10,2186.562,2205.268,2180.353,2201.988
2020-06-11,2202.14,2236.085,2181.588,2195.638
2020-06-12,2149.956,2220.972,2147.416,2206.764
2020-06-15,2223.425,2256.649,2217.286,2219.55
2020-06-16,2246.892,2261.179,2239.342,2260.458
2020-06-17,2265.087,2274.488,2248.72,2263.961
2020-06-18,2266.877,2270.112,2243.631,2266.032
2020-06-19,2271.652,2328.583,2271.589,2319.449
2020-06-22,2328.4,2358.913,2328.4,2342.88
2020-06-23,2344.052,2382.329,2335.219,2382.047
2020-06-24,2386.26,2397.363,2367.685,2382.473
2020-06-29,2375.993,2387.163,2360.161,2372.536
2020-06-30,2387.593,2441.9,2387.593,2438.197
2020-07-01,2449.865,2450.842,2381.593,2419.629
2020-07-02,2418.308,2435.117,2397.685,2424.393
2020-07-03,2426.302,2467.497,2407.998,2462.563
2020-07-06,2469.24,2535.714,2460.131,2529.487
2020-07-07,2548.408,2632.805,2538.822,2591.263
2020-07-08,2603.648,2653.071,2577.485,2651.969
2020-07-09,2649.451,2771.215,2646.466,2757.653
2020-07-10,2744.608,2799.0,2734.965,2778.457
2020-07-13,2789.976,2896.309,2789.976,2889.427
2020-07-14,2876.855,2892.888,2789.035,2858.672
2020-07-15,2866.242,2894.424,2787.827,2813.061
2020-07-16,2814.798,2849.101,2638.166,2646.26
2020-07-17,2659.445,2726.278,2618.684,2662.402
2020-07-20,2707.613,2717.001,2619.029,2697.301
2020-07-21,2708.135,2745.049,2692.872,2736.512
2020-07-22,2725.453,2807.415,2716.448,2769.028
2020-07-23,2740.414,2799.674,2707.546,2799.674
2020-07-24,2769.969,2781.79,2614.78,2627.843
2020-07-27,2639.256,2671.448,2605.769,2631.762
2020-07-28,2668.247,2677.736,2627.649,2666.521
2020-07-29,2659.939,2768.174,2652.903,2767.402
2020-07-30,2782.11,2787.382,2734.059,2743.634
2020-07-31,2747.41,2817.418,2741.442,2795.4
2020-08-03,2831.351,2870.65,2801.113,2868.882
2020-08-04,2863.318,2893.403,2819.007,2832.845
2020-08-05,2826.408,2875.439,2803.772,2860.241
2020-08-06,2868.823,2868.823,2774.689,2814.374
2020-08-07,2807.098,2823.974,2703.126,2749.953
2020-08-10,2735.432,2757.426,2693.727,2735.256
2020-08-11,2740.152,2774.901,2686.191,2688.7
2020-08-12,2689.576,2694.954,2577.712,2635.502
2020-08-13,2657.202,2660.706,2611.143,2622.64
2020-08-14,2624.834,2669.482,2615.632,2668.712
2020-08-17,2682.21,2696.696,2652.052,2696.392
2020-08-18,2702.421,2724.035,2689.029,2701.061
2020-08-19,2695.895,2695.895,2612.835,2612.835
2020-08-20,2592.876,2629.286,2578.392,2587.861
2020-08-21,2611.541,2644.021,2607.816,2632.452
2020-08-24,2653.632,2704.804,2592.659,2684.629
2020-08-25,2687.293,2737.47,2683.187,2701.604
2020-08-26,2701.483,2717.802,2635.132,2644.144
2020-08-27,2653.739,2699.884,2637.42,2689.17
2020-08-28,2687.231,2762.885,2680.492,2757.839
2020-08-31,2769.832,2779.519,2726.677,2728.313
2020-09-01,2721.18,2750.424,2701.558,2750.424
2020-09-02,2753.925,2785.349,2731.411,2771.85
2020-09-03,2766.984,2789.121,2738.127,2746.953
2020-09-04,2690.287,2739.899,2686.865,2732.155
2020-09-07,2728.742,2745.615,2628.863,2641.202
2020-09-08,2648.44,2663.686,2612.637,2650.629
2020-09-09,2609.129,2609.373,2506.898,2523.396
2020-09-10,2551.302,2565.848,2477.674,2483.031
2020-09-11,2474.703,2542.13,2474.703,2536.618
2020-09-14,2568.014,2604.385,2548.092,2572.601
2020-09-15,2578.693,2599.541,2563.071,2595.154
2020-09-16,2597.639,2597.639,2540.015,2554.8
2020-09-17,2551.289,2582.264,2521.603,2557.321
2020-09-18,2558.291,2600.584,2537.835,2596.082
2020-09-21,2605.554,2607.654,2565.042,2569.219
2020-09-22,2556.462,2596.808,2547.363,2555.544
2020-09-23,2563.713,2608.416,2549.338,2599.885
2020-09-24,2576.035,2583.625,2535.868,2535.868
2020-09-25,2551.445,2570.363,2529.128,2540.426
2020-09-28,2551.781,2555.019,2517.035,2521.246
2020-09-29,2538.364,2579.271,2521.698,2563.379
2020-09-30,2575.464,2601.803,2561.054,2574.758
2020-10-09,2632.592,2679.014,2629.221,2672.934
2020-10-12,2702.156,2777.388,2698.756,2777.388
2020-10-13,2769.662,2792.965,2754.153,2784.717
2020-10-14,2777.887,2793.485,2759.542,2764.244
2020-10-15,2767.171,2770.337,2735.338,2737.963
2020-10-16,2735.68,2754.35,2697.252,2724.497
2020-10-19,2750.946,2752.758,2684.462,2689.669
2020-10-20,2698.055,2740.583,2686.816,2740.583
2020-10-21,2746.728,2746.728,2689.34,2700.533
2020-10-22,2686.777,2686.889,2645.75,2673.585
2020-10-23,2680.707,2701.465,2592.42,2600.843
2020-10-26,2585.788,2629.313,2555.319,2617.743
2020-10-27,2618.696,2656.165,2613.075,2650.764
2020-10-28,2648.49,2684.949,2628.469,2670.481
2020-10-29,2635.693,2713.881,2631.231,2699.923
2020-10-30,2709.002,2712.452,2647.307,2655.865
2020-11-02,2670.516,2721.305,2664.764,2708.388
2020-11-03,2720.7,2750.474,2701.065,2744.314
2020-11-04,2747.541,2758.419,2725.522,2750.554
2020-11-05,2782.063,2791.566,2744.779,2787.878
2020-11-06,2798.554,2798.554,2708.079,2733.072
2020-11-09,2753.925,2831.368,2753.925,2813.998
2020-11-10,2811.485,2811.485,2757.953,2773.218
2020-11-11,2762.706,2766.645,2681.524,2681.524
2020-11-12,2705.761,2721.433,2687.762,2700.51
2020-11-13,2699.517,2717.46,2679.095,2706.813
2020-11-16,2716.021,2722.522,2679.099,2712.409
2020-11-17,2715.086,2715.694,2626.369,2658.092
2020-11-18,2656.889,2680.616,2612.823,2620.672
2020-11-19,2614.781,2651.368,2593.835,2645.161
2020-11-20,2649.559,2677.131,2649.559,2667.093
2020-11-23,2677.347,2705.768,2653.082,2686.358
2020-11-24,2689.798,2700.015,2664.953,2674.798
2020-11-25,2678.106,2679.032,2615.531,2615.531
2020-11-26,2616.74,2632.872,2584.691,2609.386
2020-11-27,2614.664,2635.694,2594.068,2618.991
2020-11-30,2627.867,2653.436,2593.703,2631.889
