center,avg_pos,cum,ann,dd,calmar,up,dn
0.3,0.27759595630247025,0.10899477600708529,0.015723555339090867,-0.2501531606783157,0.06285571326164678,0.2583679913270784,0.2647570036520322
0.35,0.29590836780605057,0.1580953517101651,0.02238122109553986,-0.2529983420900621,0.08846390419259197,0.27744544509624286,0.2811076291351957
0.4,0.3261753427099205,0.22632689692030472,0.031245650261833013,-0.25503776195019423,0.1225138192199746,0.30694454003533533,0.30711346553593055
0.45,0.36376827153252667,0.27842766128859253,0.03773659954123332,-0.27861982683519415,0.135441185108319,0.34292737896506953,0.34122002661152756
0.5,0.3940863217695998,0.35432147879987674,0.0468009262275606,-0.2769062501648508,0.16901361453451688,0.37322120207170073,0.3679611074099102
0.55,0.42793491338950584,0.4032404744372653,0.05241742547723938,-0.2943385552558937,0.1780854887721672,0.40570180201995665,0.3988072621201133
0.6,0.4617423929778834,0.43937407066972667,0.056460192931292896,-0.31804344006008356,0.17752352609639316,0.4376759871198152,0.42990642881062663
0.65,0.49493110453902434,0.47830286114225173,0.06072037444585199,-0.34031981286631663,0.17842150868161172,0.4685112401712762,0.45969277645734186
0.7,0.5258500332549574,0.4969994969437035,0.06273267070386312,-0.3614741062604495,0.17354678970742912,0.49695259122635055,0.488131129063744
0.75,0.5552155604207127,0.5191620759823508,0.06509054248565493,-0.38444948765750797,0.16930843862547093,0.523771016929741,0.5146431729004327
0.8,0.5862897639350809,0.5431849250178165,0.0676135627123644,-0.40158568679184203,0.1683664655792656,0.552687719442321,0.5431797622212102
