date,score,target,pos,equity,ops,available,locked,open,high,low,close
2026-01-05,4.12060864850107,0.85,0.15389965923564086,1.004608979630144,开盘加仓1.5成(目标85%),0.0,0.00011016633696838142,1360.897,1403.535,1360.897,1403.414
2026-01-06,42.32277570219641,0.85,0.3581399122980127,1.0113014044189432,开盘加仓2.0成(目标85%),0.00011016633696838142,0.0001432352508594236,1401.789,1442.104,1400.405,1429.302
2026-01-07,58.812637978967786,0.85,0.5603631415397565,1.0148932808293931,开盘加仓2.0成(目标85%),0.00025340158782780504,0.00014060805280461617,1442.507,1452.045,1427.98,1443.388
2026-01-08,74.8856231523941,0.85,0.7617204458734282,1.0214026135319156,开盘加仓2.0成(目标85%),0.0003940096406324212,0.00014065067411765704,1441.186,1483.231,1441.186,1455.173
2026-01-09,-20.49964457272339,0.6375,0.6787290142744601,1.0314349483312792,开盘减仓0.4成(目标64%)；瀑布卖2档,0.00047430894556597285,0.0,1442.224,1477.239,1437.577,1475.968
2026-01-12,8.713220256120806,0.85,0.8182829863057168,1.0503875032189842,开盘加仓1.4成(目标85%),0.00047430894556597285,9.421450731663875e-05,1490.499,1515.107,1478.847,1511.836
2026-01-13,9.675457874430728,0.85,0.8140286077600463,1.0263582909594475,（无操作）,0.0005685234528826117,0.0,1508.183,1511.653,1460.409,1469.57
2026-01-14,-4.089676078252936,0.85,0.7186288398380181,1.0449201827660168,瀑布卖2档；瀑布卖2档,0.0005003026686222384,0.0,1479.295,1532.578,1479.295,1500.911
2026-01-15,18.17712541549893,0.85,0.8737184282681508,1.0421752100640511,开盘加仓1.1成(目标85%)；回落(≤-1%)企稳加0.5成,0.0005003026686222384,0.00010920282623680437,1491.232,1504.844,1468.024,1493.945
2026-01-16,6.173067060796868,0.85,0.8751873151067101,1.0544402891370996,（无操作）,0.0006095054948590428,0.0,1509.7,1528.783,1495.679,1514.068
2026-01-19,-30.205054476192128,0.3825,0.7265258234044477,1.0506602956008644,开盘减仓1.5成(目标38%),0.0005065721806248227,0.0,1513.59,1525.122,1502.725,1506.857
2026-01-20,-55.70654521913328,0.3825,0.6194988302865817,1.0403441195477479,开盘减仓1.0成(目标38%),0.0004345883834697602,0.0,1508.367,1525.809,1473.194,1482.994
2026-01-21,-78.85401542646753,0.03,0.35203279704543383,1.0550996721933548,开盘减仓1.8成(目标3%)；瀑布卖2档；瀑布卖2档,0.00024191180288300588,0.0,1482.658,1546.049,1482.658,1535.393
2026-01-22,-51.74447362943765,0.3825,0.352959259106652,1.0566104114023591,（无操作）,0.00024191180288300588,0.0,1563.38,1574.966,1530.245,1541.638
2026-01-23,-44.832318923885246,0.3825,0.3547422400269954,1.059530044951354,（无操作）,0.00024191180288300588,0.0,1530.285,1553.707,1523.501,1553.707
2026-01-26,-2.886285829425195,0.85,0.5012790723538337,1.0519643976294453,开盘加仓1.5成(目标85%),0.00024191180288300588,0.00010211815113106236,1556.568,1575.452,1529.316,1532.796
