center,avg_pos,cum,ann,dd,calmar,up,dn,corr,turnover
0.3,0.25846714169338164,0.06513236547900214,0.09905977242563813,-0.07304257643714807,1.3561921999133948,0.25062567075540426,0.2379483769988702,0.10457961802715449,15.215459670541158
0.35,0.28270490043960095,0.08495387779888408,0.1298174836231316,-0.07455391367315833,1.7412564576052543,0.2768697636952276,0.2559197923781272,0.12959474503503948,14.83995346822378
0.4,0.3135595784623962,0.0956999154069027,0.14660990396263163,-0.08042033069691912,1.8230452758912643,0.30697966481660083,0.28280237947087006,0.1390549922004264,15.047685074712994
0.45,0.3537019472809185,0.11272380128867465,0.17338025011503322,-0.0903000592390959,1.9200458070127966,0.3478370479377843,0.3181431649649218,0.14749942615680192,15.845072570134331
0.5,0.3817201735865901,0.12130431857184698,0.18695079625874356,-0.0930818235816615,2.0084565285157954,0.3760003019557284,0.3440888024064205,0.15372597682803377,15.788782716069244
0.55,0.41740694119844163,0.13413446101866122,0.20733874403514418,-0.09860882179750052,2.1026388943265895,0.41154582382350463,0.37585049576416285,0.15897347856319197,16.15178644770367
0.6,0.45228097863501815,0.14607028984334725,0.22640878205196446,-0.10299344816589406,2.198283347959011,0.4459962916509707,0.4068551768651817,0.16623808272380092,16.450513937518636
0.65,0.4840566268835314,0.16473608262211803,0.2564295520766082,-0.10631489045324605,2.4119815294300464,0.4778762252948208,0.4318229233260771,0.1725021622593779,16.416015137389813
0.7,0.5162641544557646,0.17692137396898122,0.27615715110452266,-0.1120025244487255,2.4656332744620126,0.5088632310914961,0.45905620830722116,0.1765311089156124,16.477022272425458
0.75,0.5470205109009184,0.18540142977149832,0.2899461746974372,-0.11923606492143535,2.431698621457214,0.5365295687491815,0.48453172804982675,0.17366784783194225,16.546539108794555
0.8,0.5795366522860574,0.1948039715909673,0.30529261235656335,-0.12757199801648533,2.393100500919585,0.568233949049057,0.513792359673655,0.18199042484291916,16.422214656130507
