window,n_days,n_trials,prod_sr,rank,psr,dsr,dsr_eff,n_eff,sr0_ann
2025+,411,36,2.4458478762531026,5,0.9992856251290455,0.9982166283859037,0.9992856251290455,1,0.21065587951906492
2026-03+,134,36,3.764406517974653,2,0.9970045615619251,0.9935175056730388,0.9970045615619251,1,0.3609937943236763
