date,v8,rot_best
2025-01-02,0.9951410039825662,1.0
2025-01-03,0.9908427493614067,0.9915031312719894
2025-01-06,0.9889326814256421,0.9971088434252356
2025-01-07,1.0098236541090784,1.013755482009942
2025-01-08,1.0101262654200776,1.0166392923050558
2025-01-09,1.0070885309658215,1.0120941405632229
2025-01-10,0.9992043964183954,1.00122118108742
2025-01-13,0.9973756338467503,0.9969089619742056
2025-01-14,1.0090774920263528,1.0212677417567213
2025-01-15,1.0078112663660166,1.0249957982723399
2025-01-16,0.9995332655325786,1.028602246432486
2025-01-17,1.0061663376676335,1.028903454280838
2025-01-20,1.0070737572474093,1.0275908802367089
2025-01-21,1.0134334692169649,1.0327800388394976
2025-01-22,1.0126108976498125,1.0288778070111166
2025-01-23,1.0046656823244098,1.0252543339082614
2025-01-24,1.0121755198119682,1.033399328988346
2025-01-27,0.9951871798309467,1.0184282669187523
2025-02-05,1.0198618412756044,1.0399123929439178
2025-02-06,1.0447158492586137,1.0598665381009722
2025-02-07,1.051166091460575,1.0657966820200921
2025-02-10,1.0664563740045039,1.0815440180122606
2025-02-11,1.0559431345374464,1.072395901475938
2025-02-12,1.0701772420487015,1.088098099278676
2025-02-13,1.0528439310580888,1.0675376330511908
2025-02-14,1.0579316296488084,1.0724155075093855
2025-02-17,1.0705117727329991,1.083366579655326
2025-02-18,1.048357736481725,1.063003455328228
2025-02-19,1.0681928835947962,1.082081913692283
2025-02-20,1.0669334284561378,1.0810651481215674
2025-02-21,1.1192177676544566,1.1311159939405178
2025-02-24,1.1236928168685327,1.1340832171630963
2025-02-25,1.1261057837458952,1.1350042652258905
2025-02-26,1.147859993025914,1.1564928272708097
2025-02-27,1.147882378776249,1.1578447536787664
2025-02-28,1.1093305496689285,1.1120761775930543
2025-03-03,1.0984190569446,1.0984234319720823
2025-03-04,1.114399232543016,1.1096813756735149
2025-03-05,1.1163494824983506,1.1172122259088382
2025-03-06,1.139860047572784,1.1398790581214957
2025-03-07,1.131453001379103,1.1316063578297757
2025-03-10,1.1299120320402594,1.126479115380035
2025-03-11,1.1253742203902881,1.1268900696574633
2025-03-12,1.1208125668194995,1.121031550160821
2025-03-13,1.1017449486271862,1.1065706163353304
2025-03-14,1.1175792669605011,1.1243867600397126
2025-03-17,1.113345400105614,1.1207592456252524
2025-03-18,1.1190585281963312,1.1260385593844886
2025-03-19,1.1083879508655485,1.1176277394215344
2025-03-20,1.0980145043536524,1.106124754486979
2025-03-21,1.0791725922951179,1.0846269059495934
2025-03-24,1.081795833841532,1.0889464256008452
2025-03-25,1.0703618147837566,1.0775643165730158
2025-03-26,1.0681648182422985,1.0718983645005769
2025-03-27,1.075447885738027,1.0824746454712577
2025-03-28,1.0704274843655999,1.0737276643740374
2025-03-31,1.0676925565496511,1.0706090093897709
2025-04-01,1.0683647615230476,1.0678560904082948
2025-04-02,1.0677714686804713,1.0723700014460964
2025-04-03,1.064813926979998,1.072656350866296
2025-04-07,1.0087011984173522,1.0047690348246487
2025-04-08,1.02150475525074,1.0125441793208765
2025-04-09,1.0616959812663613,1.0479872310269593
2025-04-10,1.0722086297964126,1.0575760073705622
2025-04-11,1.0908993920469614,1.0788670348750267
2025-04-14,1.0943827042285308,1.0831504275869979
2025-04-15,1.0879046312901177,1.081658648640876
2025-04-16,1.0960925812486697,1.0883575597588007
2025-04-17,1.0975434087660902,1.0905785662551553
2025-04-18,1.0908864116244663,1.0855237631704542
2025-04-21,1.0980014307535386,1.0890957853348269
2025-04-22,1.0963025812770004,1.0910958170029592
2025-04-23,1.0954332788062646,1.086737648273099
2025-04-24,1.0917261695922993,1.0918623928132538
2025-04-25,1.0922665176629685,1.0905471666385684
2025-04-28,1.0908260692781244,1.0927904108777766
2025-04-29,1.0924522116706339,1.0937866358174746
2025-04-30,1.100577482679099,1.0986885148817314
2025-05-06,1.1139808537087355,1.1120690438466307
2025-05-07,1.1232963619372183,1.1175793044360494
2025-05-08,1.1215685002290097,1.1201775883625529
2025-05-09,1.1037780840331155,1.1107901593372274
2025-05-12,1.1077163580532767,1.1150786644804558
2025-05-13,1.10948937168674,1.1223887024936503
2025-05-14,1.1110611483054411,1.1318672451559062
2025-05-15,1.1017830340316483,1.1229545023442338
2025-05-16,1.0975045389601803,1.115679471915177
2025-05-19,1.0975179745692674,1.1143392469123092
2025-05-20,1.0990898062920498,1.1175258033448228
2025-05-21,1.0977142259041468,1.118745255434451
2025-05-22,1.0950771276611904,1.1203476891130315
2025-05-23,1.0896745801129428,1.1089129745795854
2025-05-26,1.090530680289112,1.1055247511952933
2025-05-27,1.084886351985483,1.1021091535978005
2025-05-28,1.0828951884509241,1.100089051953131
2025-05-29,1.0940904248485255,1.1113870819307428
2025-05-30,1.0864287733470566,1.1074059655302475
2025-06-03,1.0907980335151666,1.1144028406329005
2025-06-04,1.0950783432657691,1.1188101212004762
2025-06-05,1.1052353008146392,1.1280057209918242
2025-06-06,1.1005346498122726,1.1235115310500217
2025-06-09,1.1061308180012948,1.1299812005802377
2025-06-10,1.0913080656853407,1.1170792748441063
2025-06-11,1.089364361973527,1.1154025322620411
2025-06-12,1.0864547373194875,1.112865376853924
2025-06-13,1.0817379215511211,1.1063406592229346
2025-06-16,1.079709530221239,1.1058531370654698
2025-06-17,1.072336413103825,1.0976473080600107
2025-06-18,1.0774018058458998,1.1042321976216483
2025-06-19,1.0722139748638058,1.0986770069990668
2025-06-20,1.0671896259504752,1.0948278023072762
2025-06-23,1.0707733510578537,1.1000749408606383
2025-06-24,1.0878398882363431,1.117880242175752
2025-06-25,1.1045804520777223,1.136345497535833
2025-06-26,1.0989943193280953,1.1318522625310088
2025-06-27,1.0972495197942016,1.1267157603152231
2025-06-30,1.112312658530026,1.142050313556264
2025-07-01,1.1037729497380724,1.135123180971289
2025-07-02,1.0917258074708298,1.1232914240521084
2025-07-03,1.0940175288347687,1.12564813294758
2025-07-04,1.0938718811735066,1.1277289729795452
2025-07-07,1.087422761260892,1.1217634342943517
2025-07-08,1.100329024802187,1.1353068400556259
2025-07-09,1.0916057234446095,1.127480613993325
2025-07-10,1.0885222189897246,1.1257945557735414
2025-07-11,1.1028029335679383,1.1380824783260466
2025-07-14,1.1007693218854884,1.1369655883029868
2025-07-15,1.1045787634878241,1.1396540939275195
2025-07-16,1.1057943601423341,1.1405033354323322
2025-07-17,1.111824704722208,1.147177487798506
2025-07-18,1.1130908749391715,1.150332112094989
2025-07-21,1.113375635790743,1.1494616846037413
2025-07-22,1.1214308768236778,1.152984822779853
2025-07-23,1.1258558583545535,1.1580701986286688
2025-07-24,1.1374080486997562,1.1677838771453275
2025-07-25,1.1544747703272877,1.1887519242587874
2025-07-28,1.1550477355666326,1.1910055377166486
2025-07-29,1.1633926008836228,1.193889555900098
2025-07-30,1.155251544082734,1.1902334396125371
2025-07-31,1.145162692552672,1.179147415166839
2025-08-01,1.1373857562977974,1.1694213190508604
2025-08-04,1.1491602823889335,1.180468327654613
2025-08-05,1.1533545007833528,1.1872761577779745
2025-08-06,1.159381601017538,1.1934151469578989
2025-08-07,1.1578479676627722,1.1923809692816874
2025-08-08,1.1433908121051228,1.1769512042086843
2025-08-11,1.149494791132156,1.1822822245023865
