date,512800 银行ETF × sign,512800 银行ETF × sign±10,512800 银行ETF × pos(模型仓位),512800 银行ETF × 买入持有
2025-01-02,0.9766431473486613,0.9766431473486613,0.9766431473486613,1.0
2025-01-03,0.9699167086876593,0.9699167086876593,0.9686868468821765,0.9931129476584022
2025-01-06,0.965103046196105,0.965103046196105,0.9741635554377139,1.002754820936639
2025-01-07,0.9926800988577021,0.9926800988577021,0.9904271232421162,1.0082644628099173
2025-01-08,0.993393406722156,0.993393406722156,0.993244571815851,1.0165289256198347
2025-01-09,0.9866628570027092,0.9866628570027092,0.9888040122881756,1.0096418732782368
2025-01-10,0.9799325512322641,0.9799325512322641,0.9781812593996572,1.002754820936639
2025-01-13,0.9664719392664735,0.9664719392664735,0.9739682722968575,0.9889807162534435
2025-01-14,0.9826246736254222,0.9826246736254222,0.9977665122214475,1.0055096418732783
2025-01-15,0.9907010408048965,0.9907010408048965,1.0014087793712498,1.0137741046831956
2025-01-16,1.00012346918095,1.00012346918095,1.004932236595177,1.0234159779614325
2025-01-17,1.0132740135187164,0.9947392243946338,1.0052265131027136,1.0179063360881544
2025-01-20,1.0157558719091289,0.9934798786322603,1.0039441437763406,1.0137741046831956
2025-01-21,1.024174423475628,1.0017106551138084,1.0090138903949524,1.0137741046831956
2025-01-22,1.0231715403861514,1.0007297697167783,1.0052014560233489,0.9944903581267217
2025-01-23,1.0134846968210593,0.9912553928918584,1.0016613656316313,1.019283746556474
2025-01-24,1.0226407256965329,1.0002105976707083,1.009618929550313,1.022038567493113
2025-01-27,1.0019284623925289,0.9799526275568664,0.9949923788675954,1.0358126721763086
2025-02-05,1.020056376115932,0.9976829320167918,1.0159821160499156,1.019283746556474
2025-02-06,1.0546913786829242,1.0315582664792058,1.0354770800086004,1.019283746556474
2025-02-07,1.062596017492368,1.039289528602157,1.0412707605227558,1.0165289256198347
2025-02-10,1.0813343543261922,1.057616867434813,1.0566557216522028,1.0179063360881544
2025-02-11,1.0684503128342249,1.045015418541491,1.0477181199277608,1.0261707988980717
2025-02-12,1.0785701332621165,1.0620767989948876,1.0630589815796714,1.0330578512396695
2025-02-13,1.0800086733283156,1.0631197229560163,1.0429716491019447,1.034435261707989
2025-02-14,1.0894214477232662,1.0723855697318363,1.0477372747906941,1.0399449035812673
2025-02-17,1.105231731950493,1.0879486199123425,1.0584363428346384,1.037190082644628
2025-02-18,1.077381103670284,1.06053350711272,1.038541811060991,1.0482093663911847
2025-02-19,1.1023165743003303,1.0850790481740027,1.0571812393736104,1.0426997245179064
2025-02-20,1.1007332683414255,1.083520501234847,1.05618787142928,1.044077134986226
2025-02-21,1.166461775272029,1.1482211756154592,1.1050869561889785,1.0289256198347108
2025-02-24,1.1720875191906142,1.1537589467047886,1.1079858982045971,1.0206611570247934
2025-02-25,1.1751209458830785,1.1567449380478418,1.1088857512750778,1.012396694214876
2025-02-26,1.20060620512335,1.1818316703746725,1.1298798223962636,1.0179063360881544
2025-02-27,1.2000383033224777,1.1812726491643293,1.1312006385169477,1.0316804407713498
2025-02-28,1.187386883239249,1.1688190662444924,1.086485280669817,1.0261707988980717
2025-03-03,1.1841989716964736,1.16568100581508,1.0731467095747858,1.0234159779614325
2025-03-04,1.1841989723500266,1.1656810064584129,1.084145587501197,1.0234159779614325
2025-03-05,1.2033246623452032,1.1845076175966966,1.0915031391657932,1.0399449035812673
2025-03-06,1.1969494323468108,1.1782320805506021,1.1136483663136016,1.034435261707989
2025-03-07,1.1969494323468108,1.1782320805506021,1.105566035912639,1.034435261707989
2025-03-10,1.1873865873492226,1.1688187749814603,1.1005567806437009,1.0261707988980717
2025-03-11,1.1937618173476148,1.1750943120275548,1.100958278115232,1.0316804407713498
2025-03-12,1.1937618173476148,1.1750943120275548,1.0952345738152305,1.0316804407713498
2025-03-13,1.1969494323468108,1.1782320805506021,1.0811064123972405,1.034435261707989
2025-03-14,1.21508153188121,1.1960806385446339,1.0985125742080308,1.0482093663911847
2025-03-17,1.2191594015928584,1.1906931342266922,1.094968535502644,1.0523415977961432
2025-03-18,1.2223149342699808,1.197961198426054,1.100126362643463,1.0495867768595042
2025-03-19,1.2347140508014782,1.2101102288852823,1.0919090909562912,1.0661157024793388
2025-03-20,1.2200471894529734,1.2022934505114682,1.080670810641528,1.059228650137741
2025-03-21,1.1949545514943671,1.1749539682782513,1.0596676667269698,1.0454545454545454
2025-03-24,1.1984481183703042,1.178389084686924,1.0638877863691392,1.0550964187327825
2025-03-25,1.203392394325526,1.1832506059661103,1.0527676003864834,1.0606060606060606
2025-03-26,1.1981940216725495,1.1663482495855406,1.0472320321837643,1.0454545454545454
2025-03-27,1.2028897238393341,1.1709583219593884,1.0575649336795445,1.0495867768595042
2025-03-28,1.1997322356866256,1.1678849405373086,1.0490192365376492,1.0468319559228652
2025-03-31,1.2028894236730026,1.1709583219593884,1.045972347480798,1.0495867768595042
