期间,策略累计,策略年化,策略回撤,策略Calmar,平均仓位,换手,Upside,Downside,基准累计,基准回撤
2025年,0.3266868617836516,0.32978994090415914,-0.11879552859702336,2.7761140911529445,0.6513415163706213,18.883742213629624,0.6849643574173442,0.6555211189055647,0.4070486416778234,-0.17983972595445585
2026年,0.17692137396898122,0.27615715110452266,-0.1120025244487255,2.4656332744620126,0.5162641544557646,16.477022272425458,0.5088632310914961,0.45905620830722116,0.12394560692710788,-0.296655366156898
