center,avg_pos,cum,ann,dd,calmar,up,dn
0.5,0.46139234331404344,0.44482625782706164,0.24751802487631425,-0.09342977565456956,2.649241348833405,0.4608617020490806,0.42525897666104656
0.55,0.49925533559571533,0.49669662578421714,0.2742446338214477,-0.10013228304259114,2.7388233393699624,0.49931006028159874,0.45876283560297715
0.6,0.5377856415739228,0.5449168999158762,0.29876084723883456,-0.10728460079527602,2.7847505142787434,0.5371188093196352,0.49256290935422614
0.65,0.5730399350572244,0.5962754012887586,0.32453914841574916,-0.11457298265156579,2.8325975365651694,0.5712254705925393,0.5217566465362027
0.7,0.6059847308021721,0.6316664883640344,0.342110658709913,-0.1191427392536405,2.871435228474987,0.6021935101333479,0.5506485091220006
0.75,0.6375210051490362,0.6697330143470344,0.3608416010139668,-0.12638232193931975,2.8551588187089845,0.6314079077253845,0.5770967716283728
0.8,0.6706395310485308,0.7059969693179602,0.3785277190237575,-0.13392140889871562,2.8264914634376113,0.6631911959162453,0.6068950395626345
0.85,0.6921963208150099,0.7069016369423871,0.37896700177557774,-0.13943440625260528,2.717887298842332,0.683608189532698,0.6301958388486448
0.9,0.7077233961998731,0.7066705981158747,0.37885482424636296,-0.14486161413010357,2.615287883690877,0.6987096901811269,0.6475441880590541
0.95,0.7242992032072524,0.7008883263960153,0.3760453500531953,-0.14823721886155716,2.5367809308699623,0.7117261395335828,0.6635730585244248
1.0,0.7292407604445215,0.707004434066933,0.3790169114710864,-0.15019758755767754,2.5234553872281054,0.7172911798663986,0.668844411676641
