center,scale,cw,sw,avg_actual,avg_target,locked_ratio,obj,累计收益,年化收益,年化波动,最大回撤,Calmar,平均仓位,换手率,操作日占比,基准累计,基准年化,基准最大回撤,目标平均仓位,实际平均仓位,平均锁仓率
0.3,55.0,0.1,0.1,0.23423014836557757,0.25170673392689685,0.1380894521074204,-1.5445526442027848,0.1391806579262871,0.01984544455367887,0.07611004943689786,-0.19828199058348706,0.10008697459249534,0.23423014836557757,73.262854673236,0.6151945645460161,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.25170673392689685,0.23423014836557757,0.1380894521074204
0.4,55.0,0.1,0.1,0.3150030781175634,0.33466359709088905,0.10615236665460549,-1.5566336222092958,0.16958613830806946,0.02390459761526742,0.09896354132965815,-0.26098985571995015,0.09159205651624162,0.3150030781175634,72.5021645982294,0.5787523162445954,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.33466359709088905,0.3150030781175634,0.10615236665460549
0.3,55.0,0.15,0.1,0.237855021031885,0.2553425268174128,0.13763449000918834,-1.559771996098134,0.1439162745777094,0.020483655619210506,0.07738197818253469,-0.20034088258697658,0.10224401207935016,0.237855021031885,74.0042605211928,0.6238418777022854,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2553425268174128,0.237855021031885,0.13763449000918834
0.4,55.0,0.15,0.1,0.3198589963277476,0.3394187843542793,0.10512277264074224,-1.5651915907898701,0.17533579746803696,0.024662085997166905,0.1005842645692407,-0.2625094832460647,0.09394740979338169,0.3198589963277476,72.92994675820023,0.5812229771463867,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3394187843542793,0.3198589963277476,0.10512277264074224
0.35,55.0,0.1,0.1,0.27383296054596684,0.2927575035960317,0.12217119611669332,-1.5682002132493844,0.14689253599896768,0.02088361411404427,0.08709082221941972,-0.23216269776238097,0.08995249588036186,0.27383296054596684,73.65012392411191,0.5941939468807906,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2927575035960317,0.27383296054596684,0.12217119611669332
0.4,55.0,0.2,0.1,0.3245883939932686,0.3441739716176697,0.10436245001778623,-1.5730795571344465,0.18610459484036013,0.026072393779140057,0.10221359638509096,-0.26401295392604296,0.09875422168278768,0.3245883939932686,73.35727369752826,0.5861642989499691,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3441739716176697,0.3245883939932686,0.10436245001778623
0.3,55.0,0.2,0.1,0.24143732803129167,0.25897831970792873,0.13713153824366126,-1.5742703667393603,0.15194111077363437,0.021560044836951286,0.07872442103472584,-0.2016366571112015,0.10692522453921184,0.24143732803129167,74.75060415103553,0.6312538604076591,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.25897831970792873,0.24143732803129167,0.13713153824366126
0.4,55.0,0.1,0.2,0.33091561630977884,0.35059908072599866,0.10240510247644674,-1.5764377194349424,0.1898565395367342,0.02656120390182415,0.10414165459385828,-0.2693604792521943,0.09860839264751854,0.33091561630977884,73.41593418553347,0.586781964175417,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.35059908072599866,0.33091561630977884,0.10240510247644674
0.3,55.0,0.1,0.2,0.24588978159240332,0.26366206130266717,0.13587079233967161,-1.5794784956825612,0.1637411366346304,0.02313130005911468,0.08015409046152544,-0.20665112250482198,0.1119340644209418,0.24588978159240332,74.96421172446324,0.6349598517603459,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.26366206130266717,0.24588978159240332,0.13587079233967161
0.35,55.0,0.15,0.1,0.278061614780847,0.2969410362806302,0.12165030922281841,-1.5828248566653658,0.15503643015629498,0.021973525725603293,0.08848151766584716,-0.2318057639753529,0.09479283581550484,0.278061614780847,74.44477502016463,0.6059295861642989,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2969410362806302,0.278061614780847,0.12165030922281841
0.4,55.0,0.15,0.2,0.3359342713667742,0.3555811869544028,0.10179365352527643,-1.5885853039499676,0.20007120886657725,0.027885387760103297,0.10584720637366488,-0.27055697603197904,0.10306660049603499,0.3359342713667742,74.05961018470407,0.5966646077825818,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3555811869544028,0.3359342713667742,0.10179365352527643
0.35,55.0,0.2,0.1,0.2821561773962362,0.3011245689652286,0.12087625140847742,-1.5943687758860305,0.15958988637615623,0.022580081354386827,0.08992146493588853,-0.2357488778373783,0.09578022835791723,0.2821561773962362,74.95372091608641,0.609017912291538,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3011245689652286,0.2821561773962362,0.12087625140847742
0.3,55.0,0.15,0.2,0.24961601988405785,0.2674707241348867,0.1354676300024523,-1.5950743560794587,0.1632329878185108,0.023063915910607635,0.08136404896104897,-0.2083125178346762,0.11071785867862215,0.24961601988405785,75.6991006536364,0.6399011735639284,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2674707241348867,0.24961601988405785,0.1354676300024523
0.3,45.0,0.1,0.1,0.23652723676087803,0.2533385982413904,0.14535481710667586,-1.5973243537599213,0.17699065562076122,0.02487952192196019,0.07861422498865595,-0.19276528981582985,0.1290663995874484,0.23652723676087803,76.29106153869833,0.6621371216800495,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2533385982413904,0.23652723676087803,0.14535481710667586
0.35,55.0,0.1,0.2,0.28756146177568387,0.3066793371507254,0.11874693774299892,-1.599040304330961,0.16459218727098301,0.02324409948288375,0.09154498463357172,-0.23938863782816644,0.09709775574047255,0.28756146177568387,75.12950424498807,0.6053119209388511,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3066793371507254,0.28756146177568387,0.11874693774299892
0.4,55.0,0.1,0.3,0.34669532063830666,0.3665345643611082,0.09956541140982601,-1.6018261320830918,0.210736571016088,0.0292578222609452,0.10934862703560022,-0.27838964394045673,0.10509666181118073,0.34669532063830666,74.59445661869043,0.6016059295861643,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3665345643611082,0.34669532063830666,0.09956541140982601
0.3,55.0,0.2,0.2,0.25331596800297973,0.2712793869671063,0.1351776406915481,-1.6035429417672296,0.17156306002429567,0.024165403019728027,0.08272109139096877,-0.208883191016636,0.11568859563143802,0.25331596800297973,76.16333746393198,0.6448424953675108,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2712793869671063,0.25331596800297973,0.1351776406915481
0.4,55.0,0.2,0.2,0.3408259330167074,0.3605632931828069,0.1009883775037993,-1.6051512044902922,0.20292772401785242,0.02825398069922369,0.107522156048013,-0.27551844953208804,0.10254841643892568,0.3408259330167074,74.7822980211736,0.6053119209388511,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3605632931828069,0.3408259330167074,0.1009883775037993
0.3,45.0,0.15,0.1,0.24025294448076873,0.2570422258501767,0.14458580112121877,-1.6094595222578088,0.18245947653032246,0.025596242061700636,0.07998408741706486,-0.19520117850035024,0.13112749758144882,0.24025294448076873,76.87275875346671,0.6658431130327362,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2570422258501767,0.24025294448076873,0.14458580112121877
0.3,55.0,0.1,0.3,0.25756496849692456,0.2756173886784374,0.13398207085841699,-1.6120612896595803,0.17527800924828618,0.02465448836271089,0.0840289327917659,-0.21409389466937434,0.11515736308494397,0.25756496849692456,76.4834415343802,0.6429894996911674,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2756173886784374,0.25756496849692456,0.13398207085841699
0.35,55.0,0.15,0.2,0.2919954585807919,0.31106210528512346,0.11870949895252844,-1.6148973690292687,0.1698040358652786,0.023933362100039268,0.09315277159049865,-0.2429814121611945,0.09849873653776368,0.2919954585807919,75.86700125243554,0.6201358863495985,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.31106210528512346,0.2919954585807919,0.11870949895252844
0.4,55.0,0.15,0.3,0.3519976837676521,0.37174358955452624,0.09863536799057727,-1.6148997429190475,0.22115173609455052,0.03058818842881683,0.11116830838375077,-0.2810608817027508,0.10883118363361151,0.3519976837676521,75.24787452482444,0.6108709079678815,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.37174358955452624,0.3519976837676521,0.09863536799057727
0.35,55.0,0.2,0.2,0.29638255505257705,0.3154448734195216,0.11793132757703377,-1.626022939421981,0.18061583499911027,0.025354937441280256,0.09470011077901544,-0.24476449227027264,0.10358911624028763,0.29638255505257705,76.44978153640625,0.6256948733786288,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3154448734195216,0.29638255505257705,0.11793132757703377
0.3,55.0,0.15,0.3,0.26146463473227516,0.27959892145236054,0.13335709707133814,-1.6262007343628502,0.1798376097029144,0.025252983537544127,0.0854376835880087,-0.21730695939417277,0.11620881175617472,0.26146463473227516,77.1400119101654,0.6485484867201976,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.27959892145236054,0.26146463473227516,0.13335709707133814
0.35,55.0,0.1,0.3,0.30122700575675265,0.320601170705419,0.11581185185605603,-1.626675709595343,0.18431857388666928,0.025839246307057584,0.09614283249812078,-0.2475415589339487,0.10438346764210307,0.30122700575675265,76.43720882177132,0.6219888820259419,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.320601170705419,0.30122700575675265,0.11581185185605603
0.4,55.0,0.2,0.3,0.35729389116212185,0.3769526147479441,0.09778976144036886,-1.6267634062380631,0.23034105948801087,0.03175399617449903,0.11297086883595485,-0.28398384104792085,0.1118162077719792,0.35729389116212185,75.82627409443009,0.6176652254478073,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.3769526147479441,0.35729389116212185,0.09778976144036886
0.3,45.0,0.2,0.1,0.24387521410501875,0.26074585345896295,0.1434386003856728,-1.6287623624098009,0.18398614092402377,0.025795817497476392,0.08133800405791274,-0.19919687198591451,0.1294991092997708,0.24387521410501875,77.74798719571601,0.670166769610871,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.26074585345896295,0.24387521410501875,0.1434386003856728
0.4,45.0,0.1,0.1,0.3147884549988265,0.33442851619291675,0.11182321843282494,-1.629536209212541,0.19718226480633616,0.027511851763970308,0.10014742266101918,-0.25678002365546215,0.10714171364391134,0.3147884549988265,76.43290245743901,0.6182828906732551,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.33442851619291675,0.3147884549988265,0.11182321843282494
0.35,45.0,0.1,0.1,0.2743019141298699,0.2928335244090711,0.12957568311480433,-1.6301364200406934,0.18155233735031961,0.025477551305219226,0.08887857599718908,-0.22644768165011275,0.1125096583880462,0.2743019141298699,77.11950652604281,0.6423718344657195,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2928335244090711,0.2743019141298699,0.12957568311480433
0.3,45.0,0.1,0.2,0.24825524810833569,0.26536141819116443,0.14281039829312822,-1.638264540155701,0.18787248162766845,0.026302880596181355,0.08262247049549348,-0.20375697692709793,0.1290894721391172,0.24825524810833569,78.13444661441666,0.670166769610871,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.26536141819116443,0.24825524810833569,0.14281039829312822
0.35,55.0,0.15,0.3,0.30577366751650975,0.32518317428961674,0.11574043943199507,-1.6399010575466961,0.19376354372699867,0.02706882625334961,0.09775705052630963,-0.24952343982932845,0.10848209800195291,0.30577366751650975,77.11040819426907,0.634342186534898,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.32518317428961674,0.30577366751650975,0.11574043943199507
0.4,45.0,0.15,0.1,0.3196012950048681,0.33920014664190606,0.11104159069716088,-1.6457505492140552,0.20647519647992052,0.028710698617561592,0.10180760893734313,-0.25770319817626597,0.11140994299156431,0.3196012950048681,77.28048243717419,0.6300185299567634,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.33920014664190606,0.3196012950048681,0.11104159069716088
0.35,45.0,0.15,0.1,0.2784784187871847,0.2970445421724063,0.1291238811591119,-1.6462222529706296,0.18595654552238305,0.026053078732863666,0.09031887013489022,-0.22814414582875353,0.11419569254439373,0.2784784187871847,77.91016293945583,0.6485484867201976,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.2970445421724063,0.2784784187871847,0.1291238811591119
0.3,55.0,0.2,0.3,0.2653134671461314,0.28358045422628375,0.13273119931859312,-1.6475084601820633,0.183952342972572,0.02579140157687676,0.08668483837433455,-0.21817213936986124,0.1182158347595121,0.2653134671461314,78.21068960370047,0.6578134651019147,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.28358045422628375,0.2653134671461314,0.13273119931859312
0.35,55.0,0.2,0.3,0.31037833179931773,0.32976517787381454,0.11526080443027317,-1.651256376760289,0.2008168554179821,0.027981674715034544,0.09929452045519192,-0.2526531689522916,0.1107513308899692,0.31037833179931773,77.64557334995888,0.6368128474366893,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.32976517787381454,0.31037833179931773,0.11526080443027317
0.3,45.0,0.15,0.2,0.25198329152528137,0.26924098112430545,0.1425636088251442,-1.6545639278273856,0.1950731865100579,0.027238667507445413,0.08403967399250782,-0.2050703835171357,0.13282594512322327,0.25198329152528137,78.96337017881316,0.6788140827671402,0.546852429532334,0.06799580633944835,-0.6265673853758704,0.26924098112430545,0.25198329152528137,0.1425636088251442
